file,md5
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_106_18_X13Y5_248.tiff,67d32950d270dbbe0b315ecdca8a1b6b
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_107_114_X13Y4_219.tiff,b9cc8615da3a185171475fb6a2ef2a9b
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_108_117_X13Y3_187.tiff,06c6144ccf8ac4cd8b1d9408ca752bf8
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_109_83_X13Y2_116.tiff,8301039231cb2f0558278a86703de839
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_110_274_X13Y1_32.tiff,e4b25cd7e66bd4802d3d6f3696198144
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_114_42_X14Y5_250.tiff,5531eff9fded48575fff4ad7df64f415
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_121_100_X15Y5_252.tiff,b66a5e1bb6376909f21d252e65287a1e
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_122_166_X15Y4_231.tiff,93a2f5a4b5ac7ef13fbf4456622da000
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_123_86_X15Y3_203.tiff,8becc64c5e6ec3ffd538b76e1af5cb54
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_124_31_X15Y2_140.tiff,b612e8a42f9da97389b2ce7642063bfb
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_125_58_X15Y1_60.tiff,71781bc8bf57842b639a76ee11400a82
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_128_177_X16Y5_254.tiff,cbe1870540093729500f160ef30916d6
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_128_204_X16Y4_237.tiff,88478cc1dfe9a61af17ce839f6a80434
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_128_204_X16Y4_238.tiff,d226d67de8a09c9559d700b5a4985c9e
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_90_88_X11Y5_242.tiff,7cb47549188e8fe37d4cda9a27174a3f
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_92_239_X11Y3_165.tiff,bb1c091912e3c90931422baf2ac957f5
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_93_141_X11Y2_89.tiff,bee494eaa32c86f4ee2b54a5de8f0d05
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_94_72_X11Y1_6.tiff,54d0b3898e8055b01f5c8d5e33dbede6
BaselTMA_SP41_15.475kx12.665ky_10000x8500_5_20170905_98_20_X12Y5_246.tiff,7b424a3033213d98b13625935d894474
